2026-04-23 14:38:13 - Battery: 97% | Satellites: 10 | Mode: GUIDED | Armed: True | Altitude: 19.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.90
2026-04-23 14:38:15 - Battery: 96% | Satellites: 10 | Mode: GUIDED | Armed: True | Altitude: 20.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.90
2026-04-23 14:38:18 - Battery: 96% | Satellites: 10 | Mode: GUIDED | Armed: True | Altitude: 20.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.90
2026-04-23 14:38:21 - Battery: 95% | Satellites: 10 | Mode: GUIDED | Armed: True | Altitude: 20.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.91
2026-04-23 14:38:24 - Battery: 94% | Satellites: 10 | Mode: GUIDED | Armed: True | Altitude: 20.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.91
2026-04-23 14:38:28 - Battery: 94% | Satellites: 10 | Mode: GUIDED | Armed: True | Altitude: 20.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.92
2026-04-23 14:38:31 - Battery: 93% | Satellites: 10 | Mode: GUIDED | Armed: True | Altitude: 20.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.91
2026-04-23 14:38:34 - Battery: 92% | Satellites: 10 | Mode: GUIDED | Armed: True | Altitude: 20.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.93
2026-04-23 14:38:37 - Battery: 91% | Satellites: 10 | Mode: GUIDED | Armed: True | Altitude: 20.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.92
2026-04-23 14:38:40 - Battery: 91% | Satellites: 10 | Mode: GUIDED | Armed: True | Altitude: 20.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.93
2026-04-23 14:38:42 - Battery: 90% | Satellites: 10 | Mode: GUIDED | Armed: True | Altitude: 20.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.93
2026-04-23 14:38:45 - Battery: 89% | Satellites: 10 | Mode: GUIDED | Armed: True | Altitude: 20.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.92
2026-04-23 14:38:49 - Battery: 89% | Satellites: 10 | Mode: GUIDED | Armed: True | Altitude: 20.0m | FSM State: STANDBY | FSM Substate: N/A | Target Detected: True | Target Position: center | Target Confidence: 0.93
